iter	Passed	Remaining
802	3636	892
803	3640	887
804	3645	883
805	3649	878
806	3654	873
807	3658	869
808	3662	864
809	3667	860
810	3671	855
811	3675	850
812	3679	846
813	3684	841
814	3688	837
815	3692	832
816	3696	828
817	3701	823
818	3704	818
819	3709	814
820	3713	809
821	3717	805
822	3722	800
823	3726	795
824	3730	791
825	3734	786
826	3738	782
827	3742	777
828	3747	772
829	3751	768
830	3755	763
831	3759	759
832	3764	754
833	3768	750
834	3772	745
835	3776	740
836	3780	736
837	3785	731
838	3789	727
839	3793	722
840	3798	718
841	3802	713
842	3806	708
843	3810	704
844	3815	699
845	3819	695
846	3823	690
847	3827	686
848	3832	681
849	3836	676
850	3840	672
851	3844	667
852	3848	663
853	3853	658
854	3857	654
855	3861	649
856	3865	645
857	3870	640
858	3874	635
859	3878	631
860	3882	626
861	3887	622
862	3891	617
863	3895	613
864	3900	608
865	3904	604
866	3908	599
867	3912	595
868	3917	590
869	3921	585
870	3925	581
871	3929	576
872	3934	572
873	3938	567
874	3943	563
875	3947	558
876	3951	554
877	3955	549
878	3959	545
879	3963	540
880	3967	535
881	3971	531
882	3976	526
883	3980	522
884	3984	517
885	3988	513
886	3993	508
887	3997	504
888	4001	499
889	4006	495
890	4010	490
891	4014	486
892	4018	481
893	4023	477
894	4027	472
895	4031	467
896	4036	463
897	4040	458
898	4044	454
899	4049	449
900	4053	445
901	4057	440
902	4062	436
903	4066	431
904	4070	427
905	4074	422
906	4079	418
907	4083	413
908	4087	409
909	4091	404
910	4095	400
911	4099	395
912	4104	391
913	4108	386
914	4112	382
915	4116	377
916	4120	372
917	4125	368
918	4129	363
919	4134	359
920	4138	354
921	4142	350
922	4146	345
923	4150	341
924	4154	336
925	4159	332
926	4163	327
927	4167	323
928	4172	318
929	4176	314
930	4180	309
931	4184	305
932	4188	300
933	4193	296
934	4197	291
935	4201	287
936	4205	282
937	4209	278
938	4214	273
939	4218	269
940	4222	264
941	4226	260
942	4231	255
943	4235	251
944	4239	246
945	4243	242
946	4248	237
947	4252	233
948	4256	228
949	4260	224
950	4264	219
951	4268	215
952	4273	210
953	4277	206
954	4281	201
955	4286	197
956	4290	192
957	4294	188
958	4298	183
959	4303	179
960	4307	174
961	4311	170
962	4316	165
963	4320	161
964	4324	156
965	4328	152
966	4332	147
967	4337	143
968	4342	138
969	4346	134
970	4350	129
971	4355	125
972	4359	120
973	4364	116
974	4368	112
975	4372	107
976	4376	103
977	4381	98
978	4385	94
979	4390	89
980	4394	85
981	4398	80
982	4402	76
983	4407	71
984	4410	67
985	4415	62
986	4419	58
987	4423	53
988	4427	49
989	4432	44
990	4436	40
991	4440	35
992	4444	31
993	4448	26
994	4452	22
995	4456	17
996	4461	13
997	4465	8
998	4469	4
999	4473	0
